code_id,code_name,article_num,label,text
H682684,CODIGO CIVIL,46,1,"Artículo 46.- Capacidad adquirida por matrimonio o título oficial La incapacidad de las personas mayores de dieciséis (16) años cesa por matrimonio o por obtener título oficial que les autorice para ejercer una profesión u oficio. La capacidad adquirida por matrimonio no se pierde por la terminación de este. Tratándose de mayores de catorce (14) años cesa la incapacidad a partir del nacimiento del hijo o la hija, para realizar solamente los siguientes actos: 1. Inscribir el nacimiento y reconocer a sus hijos e hijas. 2. Demandar por gastos de embarazo y parto. 3. Demandar y ser parte en los procesos de tenencia, alimentos y régimen de visitas a favor de sus hijos e hijas. 4. Demandar y ser parte en los procesos de filiación extramatrimonial de sus hijos e hijas. 5. Celebrar conciliaciones extrajudiciales a favor de sus hijos e hijas. 6. Solicitar su inscripción en el Registro Único de Identificación de Personas Naturales, tramitar la expedición y obtener su Documento Nacional de Identidad. 7. Impugnar judicialmente la paternidad. »"
H682700,CODIGO PENAL MILITAR POLICIAL,331,1,Artículo 331.- Aprehensión sin orden judicial
H682689,CODIGO DE LOS NIÑOS Y ADOLESCENTES,75,1,"Artículo 75.- Suspensión de la Patria Potestad.- La Patria Potestad se suspende en los siguientes casos: a) Por la interdicción del padre o de la madre originada en causas de naturaleza civil; b) Por ausencia judicialmente declarada del padre o de la madre; c) Por darles órdenes, consejos o ejemplos que los corrompan; d) Por permitirles la vagancia o dedicarlos a la mendicidad; e) Por maltratarlos física o mentalmente; f) Por negarse a prestarles alimentos; g) Por separación o divorcio de los padres, o por invalidez del matrimonio de conformidad con los Artículos 282 y 340 de Código Civil. "" h) Por habérsele aperturado proceso penal al padre o la madre por delitos previstos en los artículos 173, 173- A, 176-A, 179, 181 y 181-A del Código Penal. ” (1)(2) (1) Literal modificado"
H682684,CODIGO CIVIL,349,1,"Artículo 349.- Causales de divorcio Puede demandarse el divorcio por las causales señaladas en el Artículo 333, incisos del 1 al 12. ” Efectos del divorcio respecto de los cónyuges"
H682696,CODIGO TRIBUTARIO (TUO),154,1,"Artículo 154.- JURISPRUDENCIA DE OBSERVANCIA OBLIGATORIA (225) Las resoluciones del Tribunal Fiscal que interpreten de modo expreso y con carácter general el sentido de normas tributarias, las emitidas en virtud del Artículo 102, así como las emitidas en virtud a un criterio recurrente de las Salas Especializadas, constituirán jurisprudencia de observancia obligatoria para los órganos de la Administración Tributaria, mientras dicha interpretación no sea modificada por el mismo Tribunal, por vía reglamentaria o por Ley. En este caso, en la resolución correspondiente el Tribunal Fiscal señalará que constituye jurisprudencia de observancia obligatoria y dispondrá la publicación de su texto en el Diario Oficial ."
H682686,CODIGO DE COMERCIO,409,0,"Artículo 409.- Facultad del asegurador de resolver el contrato por accidentes ulteriores El asegurador, después del siniestro, podrá rescindir el contrato por accidentes ulteriores, así como cualquier otro que hubiere hecho con el mismo asegurado avisando a éste con quince días de anticipación y devolviéndole la parte de prima correspondiente al plazo no transcurrido."
H682684,CODIGO CIVIL,2117,1,Artículo 2117.- Los derechos de los herederos de quien haya muerto antes de la vigencia de este Código se rigen por las leyes anteriores. La sucesión abierta desde que rige este Código se regula por las normas que contiene; pero se cumplirán las disposiciones testamentarias en cuanto éste lo permita. Revocación del testamento cerrado
H682684,CODIGO CIVIL,583,1,"Artículo 583.- Facultados a solicitar interdicción Pueden pedir la interdicción de la persona con capacidad de ejercicio restringida según el artículo 44 numerales del 4 al 7, su cónyuge, sus parientes o el Ministerio Público. ” Pródigo"
H682678,CONSTITUCION POLITICA DEL PERU DE 1993,170,1,"Artículo 170.- La ley asigna los fondos destinados a satisfacer los requerimientos logísticos de las Fuerzas Armadas y la Policía Nacional. Tales fondos deben ser dedicados exclusivamente a fines institucionales, bajo el control de la autoridad señalada por la ley. Fuerzas Armadas, Policía Nacional y el desarrollo del país"
H682684,CODIGO CIVIL,568-A,1,"Artículo 568-A.- Facultad para nombrar su propio curador Toda persona adulta mayor con capacidad plena de ejercicio de sus derechos civiles puede nombrar a su curador, curadores o curadores sustitutos por escritura pública con la presencia de dos (2) testigos, en previsión de ser declarado judicialmente interdicto en el futuro, inscribiendo dicho acto en el Registro Personal de la Superintendencia Nacional de Registros Públicos (Sunarp). El juez a cargo del proceso de interdicción recaba la certificación del registro, a efectos de verificar la existencia del nombramiento. La designación realizada por la propia persona vincula al juez. Asimismo, la persona adulta mayor puede disponer en qué personas no debe recaer tal designación. También puede establecer el alcance de las facultades que gozará quien sea nombrado como curador. ”"
H682684,CODIGO CIVIL,1920,0,"Artículo 1920.- La aceptación de los árbitros da derecho a las partes para compelerles a que cumplan su encargo, bajo pena de responder por los daños y perjuicios que ocasionen por su incumplimiento. Los árbitros tienen derecho a exigir la retribución convenida por las partes."
H682693,CODIGO DE PROCEDIMIENTOS PENALES,364,1,"Artículo 364.- El recurso de revisión se interpone ante la Corte Suprema, acompañando los documentos que acrediten el hecho en que se funda. La Corte Suprema encomendará a dos de sus Vocales que se informen de los hechos alegados y que dictaminen sobre la solicitud, y resolverá en Sala Plena, si hay lugar a anular la sentencia y a que se renueve el proceso. En esta audiencia no votarán los Vocales informantes, pero concurrirán para dar las explicaciones necesarias; tampoco votará el Vocal que interpuso el recurso. El reo o defensor que éste nombre, debe ser oído si concurre. """
H682684,CODIGO CIVIL,1914,0,Artículo 1914.- La existencia de la cláusula compromisoria y del compromiso arbitral puede se invocada como excepción por cualquiera de las partes.
H682684,CODIGO CIVIL,853,1,"Artículo 853.- Cuando todos los herederos son capaces y están de acuerdo en la partición, se hará por escritura pública tratándose de bienes inscritos en registros públicos. En los demás casos, es suficiente documento privado con firmas notarialmente legalizadas. "" Titulares de la acción de partición"
H682686,CODIGO DE COMERCIO,420,0,"Artículo 420.- Concurso o quiebra del asegurado El concurso o quiebra del asegurado no anulará ni rescindirá el contrato de seguro sobre la vida; pero podrá reducirse, a solicitud de los representantes legítimos de la quiebra, o liquidarse en términos establecidos en la póliza ."
H682696,CODIGO TRIBUTARIO (TUO),72-C,1,"Artículo 72-C.- PRESUNCIÓN DE INGRESOS OMITIDOS Y/O OPERACIONES GRAVADAS OMITIDAS EN LA EXPLOTACIÓN DE JUEGOS DE MÁQUINAS TRAGAMONEDAS La presunción de ingresos omitidos y/o operaciones gravadas omitidas en la explotación de juegos de máquinas tragamonedas, se determinará mediante la aplicación del control directo a dicha actividad por la Administración Tributaria, de acuerdo al siguiente procedimiento: a) De la cantidad de salas o establecimientos a intervenir a.1 La Administración Tributaria verificará la cantidad de salas o establecimientos en los cuales el deudor tributario explota los juegos de máquinas tragamonedas. a.2 Del número de salas o establecimientos verificados se determinará la cantidad de salas o establecimientos que serán materia de intervención por control directo, de acuerdo al siguiente cuadro: Número de salas o establecimientos Cantidad de salas o establecimientos donde el deudor tributario explota donde aplicar el control directo para máquinas tragamonedas efectuar la determinación presunta Sólo 1 1 De 2 hasta 6 2 De 7 hasta 29 4 De 30 a más 6 b) De las salas o establecimientos seleccionados donde aplicar el control directo para determinar los ingresos presuntos Establecido el número de salas o establecimientos del mismo deudor tributario en las que se debe efectuar el control directo de ingresos, cuando la cantidad de salas o establecimientos sea único, el control se efectuará sobre dicha sala o establecimiento. Cuando el número de salas o establecimientos del mismo deudor tributario sean dos (2) o más, para determinar cuales serán las salas o establecimientos materia de dicho control, se seguirá las siguientes reglas: b.1 Si el deudor tributario ha cumplido con presentar sus declaraciones juradas conforme lo dispuesto por las normas sobre juegos de casinos y máquinas tragamonedas, las salas o establecimientos se seleccionarán de la siguiente manera: i La mitad del número de salas o establecimientos a intervenir, corresponderán a aquéllas que tengan el mayor número de máquinas tragamonedas, según lo declarado por el deudor tributario en los seis (6) meses anteriores al mes en que se realiza la intervención. Para los contribuyentes que recién han iniciado operaciones se tomarán los meses declarados. ii La mitad restante corresponderá a las salas o establecimientos que tengan el menor número de máquinas tragamonedas, según lo declarado por el deudor tributario en los seis (6) meses anteriores al mes en que se realiza la intervención. Para los contribuyentes que recién han iniciado operaciones se tomarán los meses declarados. iii Cuando el número de máquinas tragamonedas en dos (2) o más salas o establecimientos sea el mismo, se podrá optar por cualquier sala o establecimiento, de acuerdo a las reglas de los numerales i y ii. b.2 Si el deudor tributario, no ha presentado la declaración jurada a que hacen referencia las normas sobre explotación de juegos de casinos y máquinas tragamonedas, inclusive aquellos que por mandato judicial no se encuentren obligados a realizar dicha presentación o la aplicación de la presente presunción es consecuencia de que se verificó que el deudor tributario utiliza un número diferente de máquinas tragamonedas al autorizado, la Administración Tributaria podrá elegir discrecionalmente cuáles salas o establecimientos intervendrá, comunicándose dicha elección al deudor tributario. c) De las Máquinas Tragamonedas a ser consideradas para el control directo por parte de la Administración Cuando se inicie el procedimiento de control directo en la sala o establecimiento seleccionado, se entenderá que las máquinas tragamonedas que se encuentren en dicha sala o establecimiento son explotadas por el deudor tributario salvo que mediante documentos públicos o privados de fecha cierta, anteriores a la intervención, se demuestre lo contrario. d) Del control directo Para efectos de lo señalado en el presente procedimiento, se entenderá por día comercial a aquel horario de actividades que mantiene el deudor que explota juegos de máquinas tragamonedas para realizar las actividades propias de dicha actividad, aún cuando la misma comprenda uno o más días calendario. d.1 El control directo que realice la Administración Tributaria, a efectos de determinar los ingresos presuntos, se deberá realizar en cada una de las salas o establecimientos seleccionados durante tres (3) días comerciales de un mismo mes, de acuerdo a las siguientes reglas: i Se deberá tomar un (1) día comercial por semana, pudiendo realizarse el control directo en semanas continuas o alternadas. ii No se podrá repetir el mismo día comercial de la semana. iii Sólo se podrá efectuar control directo en un (1) fin de semana del mes. iv La elección del día comercial de la semana, respetando las reglas anteriores queda a elección de la Administración Tributaria. d.2 Si el mencionado control directo se realiza en no menos de dos (2) meses alternados de un mismo ejercicio gravable, el ingreso que se determine podrá ser usado para proyectar el total de ingresos del mismo ejercicio. d.3 Si durante el desarrollo de la intervención de la Administración Tributaria en las salas o establecimientos seleccionados, ocurre algún hecho no justificado que cambia las circunstancias en las que se inició el control directo, o que a criterio de la Administración Tributaria impidan la acción de control directo o la continuación de dicha acción en cualquier sala o establecimiento seleccionado; y la intervención efectiva se realizó por más de un día comercial, lo verificado directamente por la Administración Tributaria hasta la ocurrencia del hecho o circunstancia, servirá para establecer los ingresos presuntos mensuales y/o de todo el ejercicio gravable. En caso contrario la Administración Tributaria elegirá otro día comercial para realizar el control. La fracción del día comercial no se considerará como un día comercial. e) Cálculo de los ingresos presuntos e.1 Cálculo de los ingresos diarios por máquina tragamonedas."
H682689,CODIGO DE LOS NIÑOS Y ADOLESCENTES,106,0,"Artículo 106.- Residencia de la familia sustituta El Acogimiento Familiar tendrá lugar únicamente en familias residentes en el Perú, salvo en los casos de procedimiento administrativo de adopción de niños o adolescentes declarados en estado de abandono. """
H682684,CODIGO CIVIL,1084,0,"Artículo 1084.- Sólo pueden darse en prenda créditos que consten de documento, el mismo que debe ser entregado al acreedor o, de mediar acuerdo entre las partes, ser confiado a un tercero o depositado en institución de crédito. El asentimiento del constituyente es irrevocable y el deudor debe ser notificado."
H682684,CODIGO CIVIL,1056,0,"Artículo 1056.- La prenda es indivisible y garantiza la obligación mientras no se cumpla íntegramente, aun cuando dicha obligación o el bien prendado sean divisibles. Cuando se han dado en prenda varios bienes no se puede desafectar ninguno sin pagar el total de la obligación, salvo pacto distinto ."
H682686,CODIGO DE COMERCIO,352,0,"Artículo 352.- Registro del contenido de un bulto Si, por fundadas sospechas de falsedad en la declaración del contenido de un bulto, determinare el porteador registrarlo, procederá a su reconocimiento ante testigos, con asistencia del remitente o consignatario. No concurriendo el que de éstos hubiere de ser citado, se hará el registro ante notario, que extenderá una acta del resultado del reconocimiento, para los efectos a que hubiere lugar. Si resultare cierta la declaración del remitente, los gastos que ocasionare esta operación y la de volver a cerrar cuidadosamente los bultos serán de cuenta del porteador y, en caso contrario, de cuenta del remitente."
H682692,CODIGO PENAL,233,1,"Artículo 233.- El que acapara o de cualquier manera sustrae del comercio, bienes de consumo o producción, con el fin de alterar los precios, provocar escasez u obtener lucro en perjuicio de la colectividad, será reprimido con pena privativa no menor de dos ni mayor de cuatro años y con noventa a ciento ochenta días-multa. Si se trata de bienes de primera necesidad, la pena será privativa de libertad no menor de tres ni mayor de cinco años y de ciento ochenta a trescientos sesenticinco días-multa. DEBE DECIR:"
H682686,CODIGO DE COMERCIO,80,1,"Artículo 80.- La Junta sindical se reunirá transcurridas las horas de Bolsa, y, en vista de las negociaciones de efectos públicos que resulten de las notas entregadas por los agentes colegiados, y con la noticia de las ventas y demás operaciones intervenidas por los mismos, extenderá el acta de la cotización, remitiendo una copia certificada al Registro mercantil. TÍTULO III. De los demás lugares públicos de contratación y de las ferias, mercados y tiendas."
H682685,(TUO) CODIGO PROCESAL CIVIL,403,1,"Artículo  403.- La queja se interpone ante el superior que denegó la apelación o la concedió en efecto distinto al pedido, o ante la Corte de Casación en el caso respectivo. El plazo para interponerla es de tres días contado desde el día siguiente a la notificación de la resolución que deniega el recurso o de la que lo concede en efecto distinto al solicitado. Tratándose de distritos judiciales distintos a los de Lima y Callao, puede el peticionante solicitar al Juez que denegó el recurso, dentro del plazo anteriormente señalado, que su escrito de queja y anexos sea remitido por conducto oficial. El Juez remitirá al superior el cuaderno de queja dentro de segundo día hábil, bajo responsabilidad ."
H682693,CODIGO DE PROCEDIMIENTOS PENALES,41,0,"Artículo 41.- Los miembros del Ministerio Público no pueden ser recusados; pero si deben excusarse en los casos en que procede la inhibición, ante los jueces instructores o los Tribunales de que forman parte. Cuando el juez instructor acepta la excusa, designará al llamado por la ley, para llenar las funciones del Ministerio Público, dando aviso al Tribunal Correccional. Si el juez instructor estimara improcedente la excusa del agente fiscal, la resolverá el Tribunal Correccional."
H682686,CODIGO DE COMERCIO,872,1,"Artículo 872.- Personas obligadas a indemnizar Los aseguradores del buque, del flete y de la carga, estarán obligados a pagar por la indemnización de la avería gruesa, tanto cuanto se exija a cada uno de estos objetos respectivamente."
H682693,CODIGO DE PROCEDIMIENTOS PENALES,353,0,"Artículo 353.- Si el Jefe del establecimiento en que se halla el detenido se niega a dar ingreso al juez o a cumplir la orden verbal de libertad, se abrirá contra él la correspondiente instrucción como culpable de delito contra la libertad individual."
H682684,CODIGO CIVIL,1058,0,"Artículo 1058.- Son requisitos para la validez de la prenda: 1.- Que grave el bien quien sea su propietario o quien esté autorizado legalmente. 2.- Que el bien se entregue física o jurídicamente al acreedor, a la persona designada por éste o a la que señalen las partes, sin perjuicio de lo dispuesto en la última parte del artículo 1059 ."
H682693,CODIGO DE PROCEDIMIENTOS PENALES,356,0,"Artículo 356.- Si el recurso de habeas corpus se declara fundado y la orden de detención emanó de autoridad política, el Tribunal que decretó la libertad o al que la fue comunicada por el juez, citará al funcionario que aparece culpable, al agraviado y al Fiscal a un audiencia, en la cual, después de los debates conforme a las reglas de este Código, le impondrá como pena la destitución del empleo, al que no podrá volver hasta pasados dos años. En caso de considerar el abuso de autoridad grave, puede imponer al culpable prisión hasta por tres meses."
H682685,(TUO) CODIGO PROCESAL CIVIL,618,1,"Artículo  618.- Además de las medidas cautelares reguladas, el Juez puede adoptar medidas anticipadas destinadas a evitar un perjuicio irreparable o asegurar provisionalmente la ejecución de la sentencia definitiva. A este efecto, si una medida se hubiere ejecutado sobre bienes perecibles o cuyo valor se deteriore por el transcurso del tiempo u otra causa, el Juez, a pedido de parte, puede ordenar su enajenación, previa citación a la contraria. La enajenación puede sujetarse a las estipulaciones que las partes acuerden. El dinero obtenido mantiene su función cautelar, pudiendo solicitarse su conversión a otra moneda si se acreditara su necesidad. La decisión sobre la enajenación o conversión es apelable sin efecto suspensivo. Eficacia de la medida cautelar.-"
